SuplierId,MaterialName,Quality,SuplierCountry
1,"Nitrile Butadiene Rubber (NBR) (O-rings, Seals)",Standard,Italy
2,Zinc Alloys (Zamak 5),Standard,Germany
3,"Brass (Main Jets, Idle Jets, Needle Valve Seats)",Premium,Taiwan
4,Aluminum or Plastic ID Tags/Labels,Standard,Brazil
5,Aluminum Alloys (Die-Cast),Industrial,Italy
6,Ethylene Propylene Diene Monomer (EPDM) Seals and Hoses,Industrial,Brazil
7,Zinc Alloys (Zamak 3),Standard,USA
8,"Carbon Steel (Plated, for shafts)",Standard,France
9,Nylon (for Spacers/Insulators),Industrial,South Korea
10,Brass (for some bodies/plates),Industrial,Indonesia
11,Brass Fuel Inlet Fittings (Finished),Industrial,Spain
12,Nitrile Butadiene Rubber (NBR) O-rings and Seals,Premium,Taiwan
13,Aluminum or Plastic ID Tags/Labels,Industrial,Spain
14,Fuel-Resistant Plastics (for Floats),Industrial,Brazil
15,Aluminum or Plastic ID Tags/Labels,Industrial,Brazil
16,Nitrile Butadiene Rubber (NBR) O-rings and Seals,Premium,Thailand
17,Gasket Material (Pre-cut or Bulk Sheet),Industrial,Thailand
18,Threadlockers (Anaerobic Sealants),Premium,South Korea
19,Fuel-Resistant Plastics (for Floats),Premium,Italy
20,"Nitrile Butadiene Rubber (NBR) (O-rings, Seals)",Industrial,USA
21,"Nitrile Butadiene Rubber (NBR) (O-rings, Seals)",Standard,Japan
22,Adhesives and Joint Sealants,Industrial,India
23,Nitrile Butadiene Rubber (NBR) O-rings and Seals,Industrial,Indonesia
24,PTFE (Teflon) (for Spacers),Standard,USA
25,Brass (for some bodies/plates),Premium,Brazil
26,Brass Fuel Inlet Fittings (Finished),Industrial,Mexico
27,Finished Spring Steel Clips and Pins,Standard,Brazil
28,Plated Carbon Steel Fasteners (Finished),Standard,Indonesia
29,Finished Spring Steel Clips and Pins,Standard,USA
30,Finished Vacuum Hoses (NBR or EPDM),Industrial,France
31,Plated Carbon Steel Fasteners (Finished),Premium,Mexico
32,Threadlockers (Anaerobic Sealants),Standard,UK
33,Threadlockers (Anaerobic Sealants),Industrial,China
34,Gasket Material (Composite/Paper),Premium,India
35,"Brass (Main Jets, Idle Jets, Needle Valve Seats)",Premium,India
36,"Stainless Steel Bolts, Screws, and Washers (Finished)",Standard,UK
37,"Ethylene Propylene Diene Monomer (EPDM) (Seals, Vacuum Lines)",Standard,Japan
38,Brass Fuel Inlet Fittings (Finished),Premium,UK
39,"Brass (Main Jets, Idle Jets, Needle Valve Seats)",Premium,France
40,Brass (for some bodies/plates),Premium,Italy
41,Stainless Steel (for linkages/springs),Premium,Spain
42,Aluminum or Plastic ID Tags/Labels,Premium,Spain
43,Zinc Alloys (Zamak 5),Standard,USA
44,Nitrile Butadiene Rubber (NBR) O-rings and Seals,Standard,Thailand
45,Finished Spring Steel Clips and Pins,Standard,Thailand
46,Gasket Material (Pre-cut or Bulk Sheet),Standard,Japan
47,Fuel-Resistant Plastics (for Floats),Premium,Japan
48,Threadlockers (Anaerobic Sealants),Standard,India
49,Stainless Steel (for linkages/springs),Premium,Indonesia
50,Brass (for some bodies/plates),Standard,South Korea
51,Aluminum or Plastic ID Tags/Labels,Industrial,Mexico
52,"Ethylene Propylene Diene Monomer (EPDM) (Seals, Vacuum Lines)",Standard,China
53,Stainless Steel (for linkages/springs),Standard,Indonesia
54,Gasket Material (Composite/Paper),Premium,Brazil
55,Fuel-Resistant Plastics (for Floats),Standard,UK
56,Adhesives and Joint Sealants,Industrial,India
57,Nylon (for Spacers/Insulators),Industrial,Japan
58,Gasket Material (Composite/Paper),Standard,Mexico
59,Brass (for some bodies/plates),Standard,France
60,Brass Fuel Inlet Fittings (Finished),Industrial,China
61,Nylon (for Spacers/Insulators),Standard,India
62,"Carbon Steel (Plated, for shafts)",Premium,UK
63,Stainless Steel (for linkages/springs),Industrial,India
64,Finished Vacuum Hoses (NBR or EPDM),Standard,Indonesia
65,"Carbon Steel (Plated, for shafts)",Standard,Thailand
66,Gasket Material (Composite/Paper),Industrial,India
67,Nylon (for Spacers/Insulators),Standard,China
68,Plated Carbon Steel Fasteners (Finished),Premium,China
69,Zinc Alloys (Zamak 5),Premium,China
70,Aluminum Alloys (Die-Cast),Industrial,UK
71,Nitrile Butadiene Rubber (NBR) O-rings and Seals,Premium,UK
72,Stainless Steel (for linkages/springs),Standard,Spain
73,Fuel-Resistant Plastics (for Floats),Industrial,France
74,Adhesives and Joint Sealants,Premium,Italy
75,Zinc Alloys (Zamak 3),Standard,Italy
76,Gasket Material (Pre-cut or Bulk Sheet),Standard,Germany
77,Brass Fuel Inlet Fittings (Finished),Industrial,Brazil
78,Aluminum or Plastic ID Tags/Labels,Industrial,Mexico
79,Ethylene Propylene Diene Monomer (EPDM) Seals and Hoses,Premium,Taiwan
80,"Stainless Steel Bolts, Screws, and Washers (Finished)",Standard,USA
81,Threadlockers (Anaerobic Sealants),Industrial,Spain
82,Finished Spring Steel Clips and Pins,Premium,UK
83,Stainless Steel (for linkages/springs),Standard,Spain
84,"Stainless Steel Bolts, Screws, and Washers (Finished)",Premium,Spain
85,Gasket Material (Pre-cut or Bulk Sheet),Industrial,South Korea
86,Ethylene Propylene Diene Monomer (EPDM) Seals and Hoses,Premium,Germany
87,"Brass (Main Jets, Idle Jets, Needle Valve Seats)",Premium,USA
88,Stainless Steel (for linkages/springs),Premium,USA
89,Nitrile Butadiene Rubber (NBR) O-rings and Seals,Standard,France
90,Brass (for some bodies/plates),Standard,Japan
91,Gasket Material (Pre-cut or Bulk Sheet),Industrial,Mexico
92,Nitrile Butadiene Rubber (NBR) O-rings and Seals,Standard,France
93,Aluminum Alloys (Die-Cast),Industrial,Mexico
94,Adhesives and Joint Sealants,Standard,Germany
95,Fuel-Resistant Plastics (for Floats),Industrial,Taiwan
96,Nitrile Butadiene Rubber (NBR) O-rings and Seals,Industrial,UK
97,Finished Vacuum Hoses (NBR or EPDM),Industrial,Taiwan
98,"Stainless Steel Bolts, Screws, and Washers (Finished)",Industrial,Thailand
99,Gasket Material (Pre-cut or Bulk Sheet),Industrial,UK
100,Zinc Alloys (Zamak 5),Premium,Spain
101,Zinc Alloys (Zamak 3),Standard,Italy
102,"Nitrile Butadiene Rubber (NBR) (O-rings, Seals)",Standard,Thailand
103,Gasket Material (Composite/Paper),Industrial,Spain
104,Threadlockers (Anaerobic Sealants),Industrial,India
105,Ethylene Propylene Diene Monomer (EPDM) Seals and Hoses,Industrial,Spain
106,Gasket Material (Pre-cut or Bulk Sheet),Premium,India
107,Finished Spring Steel Clips and Pins,Standard,USA
108,Aluminum Alloys (Die-Cast),Standard,Germany
109,"Carbon Steel (Plated, for shafts)",Premium,China
110,Ethylene Propylene Diene Monomer (EPDM) Seals and Hoses,Industrial,Indonesia
111,Plated Carbon Steel Fasteners (Finished),Industrial,India
112,Plated Carbon Steel Fasteners (Finished),Premium,UK
113,Aluminum or Plastic ID Tags/Labels,Premium,Spain
114,Brass (for some bodies/plates),Standard,China
115,"Brass (Main Jets, Idle Jets, Needle Valve Seats)",Standard,Brazil
116,Adhesives and Joint Sealants,Premium,Indonesia
117,Plated Carbon Steel Fasteners (Finished),Premium,Brazil
118,"Stainless Steel Bolts, Screws, and Washers (Finished)",Standard,Germany
119,"Brass (Main Jets, Idle Jets, Needle Valve Seats)",Premium,USA
120,Finished Vacuum Hoses (NBR or EPDM),Standard,Japan
